job_id,platform,title,company,location,salary_min,salary_max,salary_currency,job_type,experience_level,remote_type,description,requirements,skills,apply_url,posted_date,scraped_date,company_rating
mbruJ6L8HHaywL4AAAAAAA==,google_jobs,Python Programmer (Remote),Jobgether,,,,USD,full-time,senior,remote,"This position is posted by Jobgether on behalf of SynergisticIT. We are currently looking for a Python Programmer in Connecticut (USA).

This role is designed for aspiring software developers, recent graduates, or career changers who want to specialize in Python development with a focus on backend systems, cloud integration, and DevOps practices. You will gain hands-on experience building production-ready applications, developing APIs, and deploying scalable solutions in cloud environments. The position offers mentorship, real-world projects, and exposure to modern software development workflows, preparing you to meet the expectations of top technology employers. You’ll work on complex coding tasks, participate in code reviews, and build a professional portfolio while developing the skills needed to thrive in high-demand Python development roles.

Accountabilities:

As a Python Programmer, you will:
• Develop backend systems, APIs, and microservices using Python and related frameworks.
• Integrate applications with cloud platforms such as AWS or Azure.
• Implement CI/CD pipelines and automate deployment processes using tools like Jenkins, Docker, and GitHub Actions.
• Collaborate with cross-functional teams to design and deliver production-level software.
• Write clean, maintainable code and participate in code reviews to ensure high-quality standards.
• Apply best practices for testing, logging, and secure software development.
• Continuously learn and apply new technologies to solve practical software challenges.

Requirements

The ideal candidate will have:
• A Bachelor’s degree in Computer Science, Engineering, or related technical field.
• Proficiency in Python programming, with experience in building applications or completing projects.
• Familiarity with backend frameworks, REST APIs, and microservices architecture.
• Understanding of DevOps practices, CI/CD, and cloud computing (AWS or Azure).
• Basic knowledge of containerization and orchestration tools like Docker and Kubernetes.
• Strong problem-solving skills, attention to detail, and collaborative mindset.
• Enthusiasm for learning, mentorship, and applying Python skills to real-world projects.

Benefits

This role provides:
• Hands-on experience with Python development, cloud integration, and DevOps workflows.
• Mentorship from experienced software engineers and structured career guidance.
• Flexible work arrangements, including remote options.
• Resume and LinkedIn optimization to align with industry requirements.
• Mock technical and behavioral interviews to prepare for real-world hiring processes.
• Exposure to project code reviews and feedback to enhance technical skills.
• Connections to top technology employers and job placement opportunities.

Jobgether is a Talent Matching Platform that partners with companies worldwide to efficiently connect top talent with the right opportunities through AI-driven job matching.

When you apply, your profile goes through our AI-powered screening process designed to identify top talent efficiently and fairly.
🔍 Our AI evaluates your CV and LinkedIn profile thoroughly, analyzing your skills, experience, and achievements.
📊 It compares your profile to the job’s core requirements and past success factors to determine your match score.
🎯 Based on this analysis, we automatically shortlist the 3 candidates with the highest match to the role.
🧠 When necessary, our human team may perform an additional manual review to ensure no strong profile is missed.

The process is transparent, skills-based, and free of bias — focusing solely on your fit for the role. Once the shortlist is completed, we share it directly with the company that owns the job opening. The final decision and next steps (such as interviews or additional assessments) are then made by their internal hiring team.

Thank you for your interest!

#LI-CL1",,"Python, Aws, Azure, Docker, Kubernetes, Git, Ci/Cd, Jenkins, Rest Api, Microservices",https://dailyremote.com/remote-job/python-programmer-remote-4039651?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,2026-01-11 21:53:50,
KEO9RHxPaVg-qjuSAAAAAA==,google_jobs,Python Developer (US Only),"Lincoln Freedom Group, LLC",,,,USD,contract,senior,remote,"Lincoln Freedom Group, LLC is hiring a Python Developer on behalf of a growing client expanding into multiple new markets. This is a long term full-time 1099 contract role (40 hours/week) for someone who can take well-defined stories and deliver clean, reliable code.

What You'll Do: You'll work from Jira tickets with clear acceptance criteria, building and maintaining network-focused applications, so telecom/networking context is helpful but not mandatory. This role emphasizes independence - you'll own your stories from pickup to completion, with senior developer support available when needed. Code quality matters more than raw velocity.

The Tech Stack:
• Python (Django, FastAPI)
• SQLAlchemy
• REST/SOAP API clients
• Kafka
• PostgreSQL and other standard infrastructure

The Environment: The team is collaborative but self-directed. Management is hands-off, trusting developers to manage their work. You'll be joining a team that's building out formal QA processes, so attention to detail and clean code practices are valued.

What We're Looking For:
• Professional Python development experience
• Ability to work independently and own stories end-to-end
• Django or FastAPI experience
• Comfort working with APIs and data systems
• Networking or telecom background is a plus
• Strong communication skills for a collaborative remote environment

Compensation: Rate is negotiable based on experience. Submit your proposed rate with your application.

To Apply: Send your resume to jobs@lincolnfreedomgroup.com. Please include a cover letter explaining why you're interested in this specific role and what qualities would make you a strong fit.",,"Python, Sql, Postgresql",https://weworkremotely.com/remote-jobs/lincoln-freedom-group-llc-python-developer-us-only?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-12-16,2026-01-11 21:53:50,
bz6uCWOpJiZxSpr1AAAAAA==,google_jobs,Remote Python Engineer Job for a Health Tech Startup (Part-Time),Toptal,"Philadelphia, Pennsylvania, US",50000,300000,USD,full-time,senior,remote,"We’re a health tech startup launching a new product to automate data analysis and data visualization. We are looking to hire a Python engineer to improve data loading and storage practices, create data visualizations, and write reports. This is a great chance to work with a fascinating data set.

Design your lifestyle as a full-time freelancer, with the freedom to work however, wherever, on your terms.

About Toptal:

Freelance work is defining the careers of today’s Developers in exciting new ways. If you’re passionate about working flexibly with leading Fortune 500 brands and innovative Silicon Valley startups, Toptal could be a great fit for your next career shift.

Toptal is an elite talent network for the world’s top 3% of Developers, connecting the best and brightest freelancers with top organizations. Unlike a 9-to-5 job, you’ll choose your own schedule and work from anywhere. Jobs come to you, so you won’t bid for projects against other freelancers in a race to the bottom. Plus, Toptal takes care of all the overhead, empowering you to focus on successful engagements while getting paid on time, at the rate you decide, every time.

As a freelancer, you could join an ever-expanding community of experts in over 120 countries, working remotely on the projects that meet your career ambitions.

That’s why the world’s top 3% of Developers choose Toptal. Developers in our elite network share:

Requirements:
• English language proficiency
• At least 3 years of professional experience
• Experience with system architecture or leading a software team is a strong advantage
• Full-time availability is a strong advantage
• Project management skills
• A keen attention to detail

If you’re ready for a career shift to impactful freelance work, take the next step by applying today!",,Python,https://www.toptal.com/freelance-jobs/developers/django/python-engineer-65?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-09,2026-01-11 21:53:50,
4677nETPgZPEs67tAAAAAA==,google_jobs,Java Developer with Python - Remote,MSYS Inc.,,,,USD,contract,mid,remote,"Tittle: Java Developer with Python - Remote

Location: Remote

Length: Long term

Restriction: W2 or C2C
Description:
• *** Webcam interview; *** Long term project *** Remote ***Linkedin Must***

Job Description:
• Responsible for the design, development, and maintenance of software applications and APIs using Java and Python programming languages
• This role often involves a combination of backend development, API integration, and sometimes includes aspects of cloud-based solutions
• Design, develop, test, and deploy robust and scalable applications and APIs using Java and Python",,"Python, Java",https://www.dice.com/job-detail/115d7b5f-fdce-4379-bc41-ecd247b34aa8?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-08,2026-01-11 21:53:50,
55pXWj9I3dIqcJtyAAAAAA==,google_jobs,Python Software Engineer | $90/hr Remote,Crossing Hurdles,,70,90,USD,contract,senior,remote,"At Crossing Hurdles, we work as a referral partner. We refer candidates to Mercor that collaborates with the world’s leading AI research labs to build and train cutting-edge AI models.

Organization: Mercor
Position: Rust, JavaScript/TypeScript and Python Engineers (Code Agent Experience)
Referral Partner: Crossing Hurdles
Type: Hourly Contract
Compensation: $70–$90/hour
Location: Remote
Duration: Minimum 2 weeks (extension possible)
Commitment: 10–40 hours/week

Role Responsibilities
• Use coding agents to perform realistic coding tasks on real-world codebases.
• Review, refine, and validate AI-assisted code for correctness, performance, and maintainability.
• Contribute to building robust, high-performance systems supporting next-generation AI applications.
• Provide structured feedback on AI-generated outputs to improve reliability and quality.
• Collaborate asynchronously with research and engineering teams across evolving workflows.

Requirements
• Strong experience using coding agents as part of a software engineering workflow.
• Fluency in at least one of the following languages: Rust, JavaScript/TypeScript, or Python.
• Demonstrated contributions to open-source projects or robust public personal projects (e.g., GitHub).
• Computer Science degree from a prestigious university.
• Exceptional attention to detail and rigorous problem-solving skills.
• Excellent written and verbal communication.

Application process (Takes 20 min)
• Upload resume
• AI interview based on your resume (15 min)
• Submit form",,"Python, Java, Javascript, Git",https://www.dice.com/job-detail/4db43573-95f4-4917-9253-718e0d2519e9?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-08,2026-01-11 21:53:50,
tG8eBqqjQAcH0k5_AAAAAA==,google_jobs,Python Developer- Remote,Staffing the Universe,"Baltimore, Maryland, US",,,USD,full-time,mid,remote,"Python Developer

Location : Remote

Duration : Contract

Remote : DOE

U.S. Citizens and those authorized to work in the U.S. are encouraged to apply. We are unable to sponsor at this time.

Description : Python web frameworks. Python web developer skills. Bachelor's degree in Computer Science or Engineering or equivalent work experience. 5+ years of experience.",,Python,https://www.talent.com/view?id=e5c840b65890&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-05,2026-01-11 21:53:50,
X_x0AL5JxwIn3DVXAAAAAA==,google_jobs,Python / R Developer - Remote,SynergisticIT,"Chicago, Illinois, US",,,USD,full-time,entry,remote,"Since 2010 Synergisticit has helped Jobseekers get employed in the tech Job market by providing candidates the requisite skills, experience and technical competence to outperform at interviews and at clients. Here at SynergisticIT We just don't focus on getting you a tech Job we make careers.

In this Job market also, our candidates are able to achieve multiple job offers and $100k + salaries.

please check the below links to see success outcomes, salaries of our candidates .

We regularly interact with the Top Tech companies to give our candidates a competitive advantage-Please visit the below videos exhibiting at Oracle Cloud world / Oracle Java one (Las vegas) -2023 / 2022 and at Gartner Data Analytics Summit (Florida)-2023

All Positions are open for all visas and US citizens

We at Synergisticit understand the problem of the mismatch between employer's requirements and Employee skills and that's why since 2010 we have helped 1000's of candidates get jobs at technology clients like apple, google, Paypal, western union, Client, visa, walmart lab s etc to name a few.

Currently, We are looking for entry-level software programmers, Java Full stack developers, Python / Java developers, Data analysts / Data Scientists, Machine Learning engineers for full time positions with clients.

Who Should Apply Recent Computer science / Engineering / Mathematics / Statistics or Science Graduates or People looking to switch careers or who have had gaps in employment and looking to make their careers in the Tech Industry.

We assist in filing for STEM extension and also for H1b and Green card filing to Candidates

We want Data Science / Machine learning / Data Analyst and Java Full stack candidates

For data Science / Machine learning Positions

REQUIRED SKILLS

Bachelors degree or Masters degree in Computer Science, Computer Engineering, Electrical Engineering, Information Systems, IT

Project work on the technologies needed

Highly motivated, self-learner, and technically inquisitive

Experience in programming language Java and understanding of the software development life cycle

Knowledge of Statistics, Gen AI, LLM, Python, Computer Vision, data visualization tools

Excellent written and verbal communication skills

Preferred skills : NLP, Text mining, Tableau, PowerBI, Databricks, Tensorflow

REQUIRED SKILLS For Java / Full stack / Software Positions

Bachelors degree or Masters degree in Computer Science, Computer Engineering, Electrical Engineering, Information Systems, IT

Highly motivated, self-learner, and technically inquisitive

Experience in programming language Java and understanding of the software development life cycle

Project work on the skills

Knowledge of Core Java , javascript , C++ or software programming

Spring boot, Microservices, Docker, Jenkins, Github, Kubernates and REST API's experience

Excellent written and verbal communication skills

If you get emails from our Job Placement team and are not interested please email them or ask them to take you off their distribution list and make you unavailable as they share the same database with the client servicing team who only connect with candidates who are matching client requirements.

No phone calls please. Shortlisted candidates would be reached out. No third party or agency candidates or c2c candidates",,"Python, Java, Javascript, Docker, Git, Jenkins, Machine Learning, Tensorflow, Rest Api, Microservices",https://www.talent.com/view?id=97d54853ead0&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-04,2026-01-11 21:53:50,
YVnva7-CUyh8WCVrAAAAAA==,google_jobs,Senior Software Engineer - Backend/Python - USA Only (100% Remote),Close,,,,USD,full-time,senior,remote,"About Us

Close is a bootstrapped, profitable, 100% remote, ~100 person team of thoughtful individuals who prioritize taking ownership and making a meaningful impact. We’re eager to make a product our customers fall in love with over and over again.

We 💛 small scaling businesses. Since 2013, we’ve been building a CRM that focuses on better communication, without the hassle of manual data entry or a complex UI. We are out to supercharge sales productivity with the most modern, thoughtfully designed, all-in-one, communication-focused CRM.

Our backend tech stack consists primarily of Python Flask web apps with our TaskTiger scheduler handling many of the backend asynchronous task processing chores. Our data stores include MongoDB, PostgreSQL, Elasticsearch, and Redis. The underlying infrastructure runs on AWS using a combination of managed services like EKS, MSK, RDS and ElasticCache and non-managed services running on EC2 instances. We have CI/CD pipelines that build Docker images, run automated tests and deploy to Kubernetes clusters. We also use these images in our local development environment allowing coding locally against all of our services. We have a well-documented public API that is consumed by our front-end JavaScript app as well as numerous integrations. Our infrastructure is heavily automated using Terraform, Ansible and other AWS tools.

Our product development process is inspired by Shape Up. We love open sourcing our code and ideas on our GitHub and on The Making of Close, our behind-the-scenes Product & Engineering blog. Check out our open source projects like SocketShark, TaskTiger, LimitLion and ciso8601.

About the Role

You will be joining one of our six cross-functional teams. These are the CRM, Admin & Onboarding, Conversations, Messaging & Scheduling, Automations & Integrations and Data Insights teams. You will be regularly collaborating with other backend & frontend engineers, product managers, designers, and other teams here at Close.

About You

We’re looking for high achieving, full-time Software Engineers to join our engineering team. Someone who has a good understanding in web technologies and wants to help design, implement, launch, and scale major systems and user-facing features.

You're comfortable working in a fast-paced environment with a small and talented team where you're supported in your efforts to grow professionally. You're able to manage your time well, communicate effectively, and collaborate in a fully distributed team.

Come help us with projects like...
• Conceiving, designing, building, and launching new user-facing features
• Implementing new AI features to turbocharge our customers’ daily tasks
• Improving the performance and scalability of our GraphQL and REST API
• Improving how we sync millions of sales emails and calendar events each month
• Working with Twilio's API, WebSockets, and WebRTC to improve our calling features
• Building user-facing analytics features that provide actionable insights based on sales activity data
• Improving our Elasticsearch-backed powerful search features
• Improving our internal messaging infrastructure using streaming technologies like Kafka and Redis
• Building new and enhancing existing integrations with other SaaS platforms like Google’s G Suite, Zapier, and web conferencing providers
• Enhancing our web app with real-time updates powered by GraphQL Subscriptions
• Leveraging the latest AI LLMs from providers like OpenAI, Groq and AssemblyAI

Help manage our ever growing data processing needs…
• Billions of Mongo documents
• Millions and millions of rows of PostgreSQL data
• 55 Terabytes of logs / month
• 500 billion OTEL spans over the last 30 days
• 10+ million events / day
• Tens of thousands of docker containers
• 7 million minutes of call recordings / month
• Petabytes / month of network traffic

Requirements...
• Senior 1 & 2 level candidates should have 5+ years of experience building modern back-end systems. Staff level candidates should have 8+ years of experience. Mid-level candidates should have ~3 years of similar experience and be eager to level up with the right opportunity.
• Professional Python experience is preferred but a working knowledge of Python with additional experience in other languages is acceptable if you have a desire to work with Python.
• You have built web APIs that were Internet facing or supported other high volume loads.
• You have hands-on production experience working with MongoDB, PostgreSQL, Elasticsearch, or similar data stores.
• You have experience designing, scaling, debugging, and optimizing systems to make them fast and reliable.
• You have participated in code reviews and provided overall code quality suggestions to help maintain the structure and quality of the codebase.
• You care about the craftsmanship of the code and systems you produce.
• Located in the USA (lower 48 timezones).

Bonus point if you have
• Contributed open source code related to our tech stack.
• Led small project teams building and launching features.
• Built B2B SaaS products.
• Implemented features that leveraged AI to deliver unimaginable new product capabilities.
• Worked with complex architectures that support multiple APIs (e.g. REST, GQL, WebSockets) as well as async task and event processing frameworks.

🌏 Why Close?
• Watch our most recent culture video featuring our annual team retreat in Italy
• 100% remote company
• 5 weeks PTO + Winter & Summer Holiday Breaks with 2 additional PTO days for every year with the company
• 1 month paid sabbatical every 5 years
• Paid parental leave
• Medical, Dental, Vision with HSA option (US residents)
• 401k matching at 6% (US residents)
• Dependent care FSA (US residents)
• Our story and team 🚀

Our Values
• Build a house you want to live in -- Examine long-term thinking and action
• No BS -- Practice transparency and honesty, especially when it’s hard
• Invest in each other -- Build successful relationships with your coworkers and customers
• Discipline equals freedom -- Keep your word to yourself and others
• Strive for greatness -- Constantly challenge yourself and others

How We Work Together
• Productivity, Quality & Impact: We don’t track hours. We trust you’re an adult and know best how to prioritize, meet your goals and contribute at a high level.
• Asynchronous communication & collaboration: We have team members all over the world. We don’t expect anyone to work untraditional hours, that means our default is async. Most teams have 2-5 hours of internal meetings weekly.
• Appreciation for Deep Work: *During your normal work day, not after a day of meetings*.
• Autonomy & Freedom: Create a work environment that is sustainable for you. We place a high amount of trust and responsibility with our team members from the start.

We are looking for US-based Software Engineers to join our team. Base salary range for Senior I & II is $140,000 to $210,000.",,"Python, Java, Javascript, Sql, Postgresql, Mongodb, Redis, Aws, Docker, Kubernetes, Git, Ci/Cd, Terraform, Rest Api, Graphql",https://weworkremotely.com/remote-jobs/close-senior-software-engineer-backend-python-usa-only-100-remote-1?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,2026-01-11 21:53:50,
_rb5NgTSmsPpUcsVAAAAAA==,google_jobs,Sr. Python Engineer with AWS| Remote | 100% Remote,Pioneer Corporate Services Inc,,,,USD,contract,senior,remote,"Sr. Python Engineer

Remote

We are seeking aSenior Python Engineerto join ourFSD Product Developmentteam. This role is focused on building and maintainingcloud-native, data-driven applications and APIsusing Python and AWS.

The ideal candidate is ahands-on senior engineerwith deep Python experience and strong knowledge of AWS services, distributed systems, and modern software engineering practices. While the team works with data pipelines and ML-enabled systems, this role isnot an MLOps or ML research position. The emphasis is onproduction-grade software development, scalability, reliability, and performance.

Responsibilities

Design, build, and maintainscalable, cloud-native services and APIsusingPythonandAWS.

Experience with SageMaker

Collaborate with Product, Architecture, CloudOps, and Engineering teams to deliver reliable solutions that address business requirements.

Implement backend services using Python frameworks such asFlask, Django, and AsyncIO.

Build and operate systems using AWS services includingLambda, ECS/Fargate, EKS, S3, RDS, Aurora, Step Functions, and related services.

Contribute to system and application design, producingclear technical documentationand participating in design reviews.

Ensure high standards ofcode quality, test coverage, and maintainability, including writing unit and integration tests.

Participate incode reviewsand provide constructive feedback to peers.

Identify performance bottlenecks and implementperformance tuning and reliability improvements.

Support integration of data pipelines and downstream consumers (including ML-enabled components where applicable).

Performproof-of-concept (POC)work to evaluate new technologies or approaches.

Work closely with Product teams to translate business requirements into technical solutions.

Mentor junior engineers and help establishengineering best practices.

Drive continuous improvement in development workflows, tooling, and system efficiency.

Knowledge, Experience & Qualifications

Bachelor s degree inComputer Science or a related field; Master s degree preferred.

8+ yearsof experience as a Software Engineer, with a strong focus onPython backend development.

5+ yearsof hands-on experience building and operating applications onAWS.

Strong experience designing and developingRESTful APIs and microservices.

Solid understanding ofdistributed systems, concurrency, system integration, and troubleshooting.

Experience with AWS services such asLambda, ECS/Fargate, EKS, S3, RDS, Aurora, and related tooling.

Hands-on experience withDockerand containerized deployments.

Experience withCI/CD pipelines, automated testing, and deployment workflows (CodeCommit, CodeDeploy, CodePipeline, Jenkins, Harness, etc.).

Experience with asynchronous messaging or queueing systems such asKafka, RabbitMQ, or SQS.

Experience monitoring and operating production systems, includingerror handling, logging, and recovery strategies.

Strong understanding ofsoftware development lifecyclesand Agile/Scrum methodologies.

Strong problem-solving, analytical, and debugging skills.

Excellent communication and documentation skills.

Comfortable working in afast-paced, evolving environmentwith multiple concurrent initiatives.

Strong team player with experience working withglobally distributed teams.",,"Python, Aws, Docker, Ci/Cd, Jenkins, Microservices",https://www.dice.com/job-detail/2318e073-0d84-4fc0-a43b-ca18c81736be?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-12-18,2026-01-11 21:53:50,
gsQpG1E-ZcHa95IcAAAAAA==,linkedin,Fullstack Python Engineer (Remote),CyberCoders,"Irvine, California, US",175000,225000,USD,full-time,mid,remote,"$175k-$225k

Position Overview

We are seeking a talented Fullstack Python Engineer to join our dynamic startup team. In this role, you will be responsible for developing robust web applications using Python and Flask, working on both the front-end and back-end aspects of our projects. Your expertise will help us build scalable solutions that enhance user experience and drive business growth.

Key Responsibilities
• Design and implement scalable web applications using Python and Flask.
• Collaborate with cross-functional teams to define, design, and ship new features.
• Maintain and improve existing applications, ensuring optimal performance and security.
• Participate in code reviews and provide constructive feedback to team members.
• Troubleshoot and debug applications to enhance functionality and user experience.
• Stay up-to-date with emerging technologies and industry trends to drive innovation.

Qualifications
• 7+ Proven experience as a Fullstack Engineer or similar role.
• Strong proficiency in Python and experience with Flask framework.
• Familiarity with front-end technologies (HTML, CSS, JavaScript) and frameworks.
• Experience in startup environments is highly desirable.
• Solid understanding of database management and RESTful API development.
• Excellent problem-solving skills and ability to work in a fast-paced environment.

Email Your Resume In Word To

Looking forward to receiving your resume through our website and going over the position with you. Clicking apply is the best way to apply, but you may also:

gabriel.carrillo@cybercoders.com
• Please do NOT change the email subject line in any way. You must keep the JobID: linkedin : GC6-1880510 -- in the email subject line for your application to be considered.***

Gabriel Carrillo - Executive Recruiter

For this position, you must be currently authorized to work in the United States without the need for sponsorship for a non-immigrant visa.

CyberCoders will consider for Employment in the City of Los Angeles qualified Applicants with Criminal Histories in a manner consistent with the requirements of the Los Angeles Fair Chance Initiative for Hiring (Ban the Box) Ordinance.

This job was first posted by CyberCoders on 10/15/2025 and applications will be accepted on an ongoing basis until the position is filled or closed.

CyberCoders is proud to be an Equal Opportunity Employer

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, sexual orientation, gender identity or expression, national origin, ancestry, citizenship, genetic information, registered domestic partner status, marital status, status as a crime victim, disability, protected veteran status, or any other characteristic protected by law. CyberCoders will consider qualified applicants with criminal histories in a manner consistent with the requirements of applicable state and local law, including but not limited to the Los Angeles County Fair Chance Ordinance, the San Francisco Fair Chance Ordinance, and the California Fair Chance Act. CyberCoders is committed to working with and providing reasonable accommodation to individuals with physical and mental disabilities. Individuals needing special assistance or an accommodation while seeking employment can contact a member of our Human Resources team at Benefits@CyberCoders.com to make arrangements.",,"Python, Java, Javascript",https://www.linkedin.com/jobs/view/fullstack-python-engineer-remote-at-cybercoders-4315620341?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-10,2026-01-11 21:53:50,
