job_id,platform,title,company,location,salary_min,salary_max,salary_currency,job_type,experience_level,remote_type,description,requirements,skills,apply_url,posted_date,scraped_date,company_rating
5jTxmgc0JXP0qPHeAAAAAA==,indeed,Remote Python Developer,LookFar Labs,"Washington, District of Columbia, US",95000,125000,USD,full-time,senior,remote,"Our Python Developer will have the opportunity to build scalable systems and software for commercial and government use, by developing scalable solutions that leverage modern architecture and best practices, and enable significant processing at runtime. You will provide technical expertise and support in the design, development, implementation, and testing.

You will also participate in and/or direct major deliverables of projects through all aspects of the software development lifecycle including scope and work estimation, architecture and design, coding for back-end, and unit testing. In addition, you would also work with our Data Science team to help operationalize the ML models for our v2 platform.

Your solutions should keep in mind scalability, with optimized usage of distributed computing using frameworks like Spark. You should also have strong familiarity and experience with how to leverage the AWS ecosystem to bring in relevant AWS tools, services, and resources to enable substantial processing of very large datasets before runtime, entity resolution between very large datasets, and real-time processing in a scalable, distributed computing environment.

Primary Responsibilities:
• Lead the development efforts to create platform v2
• Participate in software programming initiatives to support innovation and enhancement, using Python and PySpark.
• Leverage the AWS ecosystem to bring in relevant tools, services, and resources to enable distributed computing and scalable processing of very large datasets.
• Problem solve and think creatively about the big picture and solution for our customers, proactively anticipate problems, and be customer-centric in our development and design, and be open-minded to different solutions for achieving a development milestone.
• Clearly document processes, methodologies, and tools used.

Experience Required:
• B.S. in relevant technical degree
• Significant use and experience (at least 3-5 years) with Python, required
• Significant experience (at least 3-5 years) with distributed computing and corresponding languages such as PySpark in the Spark ecosystem, required
• Significant experience (at least 3-5 years) with the AWS ecosystem, including tools, services, and resources that enable scalable, distributed processing, required
• Significant use and experience with writing complex SQL queries and analysis of data correlations, required
• Experience utilizing software testing performance tools, such as Junit
• Experience and knowledge of Git, AWS CodeCommit, or other such repos
• Knowledge of ML fundamentals and acquaintance of popular ML libraries
• Ability to work independently and integrate with other team members
• Project management skills, ability to scope out timeline, methodology, and deliverables for development, testing, and integration into the platform
• Excellent communication skills (written and verbal)
• Well-versed with using version control systems

The position is remote. The candidate must have the legal right to work in the United States.

Interview Process:

We will conduct 3 rounds of interviews.
• First Round: Culture, fit, and background interview with the company Founders
• Second Round: Technical Interview
• Third Round: In-Person Day with Founders (We will have the candidate fly out to D.C. to meet the founders and team.)

Job Type: Full-time

Salary: $95,000.00 - $125,000.00 per year

Benefits:
• Dental insurance
• Health insurance
• Paid time off

Schedule:
• Monday to Friday

Application Question(s):
• Are you able to work full-time on a W2?
• If selected, are you willing/able to fly to Washington, DC for an inperson interview (all travel expenses paid)?

Experience:
• Python: 3 years (Required)
• Distributed Programming: 2 years (Required)
• AWS deployment: 2 years (Required)
• Spark: 2 years (Required)
• PySpark: 1 year (Required)
• Apache Spark: 1 year (Preferred)",,"Python, Sql, Aws, Git",https://www.indeed.com/viewjob?jk=364f8f386d4e2224&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,2025-12-09 22:15:39,
mbruJ6L8HHaywL4AAAAAAA==,google_jobs,Python Programmer (Remote),Jobgether,,,,USD,full-time,senior,remote,"This position is posted by Jobgether on behalf of SynergisticIT. We are currently looking for a Python Programmer in Connecticut (USA).

This role is designed for aspiring software developers, recent graduates, or career changers who want to specialize in Python development with a focus on backend systems, cloud integration, and DevOps practices. You will gain hands-on experience building production-ready applications, developing APIs, and deploying scalable solutions in cloud environments. The position offers mentorship, real-world projects, and exposure to modern software development workflows, preparing you to meet the expectations of top technology employers. You’ll work on complex coding tasks, participate in code reviews, and build a professional portfolio while developing the skills needed to thrive in high-demand Python development roles.

Accountabilities:

As a Python Programmer, you will:
• Develop backend systems, APIs, and microservices using Python and related frameworks.
• Integrate applications with cloud platforms such as AWS or Azure.
• Implement CI/CD pipelines and automate deployment processes using tools like Jenkins, Docker, and GitHub Actions.
• Collaborate with cross-functional teams to design and deliver production-level software.
• Write clean, maintainable code and participate in code reviews to ensure high-quality standards.
• Apply best practices for testing, logging, and secure software development.
• Continuously learn and apply new technologies to solve practical software challenges.

Requirements

The ideal candidate will have:
• A Bachelor’s degree in Computer Science, Engineering, or related technical field.
• Proficiency in Python programming, with experience in building applications or completing projects.
• Familiarity with backend frameworks, REST APIs, and microservices architecture.
• Understanding of DevOps practices, CI/CD, and cloud computing (AWS or Azure).
• Basic knowledge of containerization and orchestration tools like Docker and Kubernetes.
• Strong problem-solving skills, attention to detail, and collaborative mindset.
• Enthusiasm for learning, mentorship, and applying Python skills to real-world projects.

Benefits

This role provides:
• Hands-on experience with Python development, cloud integration, and DevOps workflows.
• Mentorship from experienced software engineers and structured career guidance.
• Flexible work arrangements, including remote options.
• Resume and LinkedIn optimization to align with industry requirements.
• Mock technical and behavioral interviews to prepare for real-world hiring processes.
• Exposure to project code reviews and feedback to enhance technical skills.
• Connections to top technology employers and job placement opportunities.

Jobgether is a Talent Matching Platform that partners with companies worldwide to efficiently connect top talent with the right opportunities through AI-driven job matching.

When you apply, your profile goes through our AI-powered screening process designed to identify top talent efficiently and fairly.
🔍 Our AI evaluates your CV and LinkedIn profile thoroughly, analyzing your skills, experience, and achievements.
📊 It compares your profile to the job’s core requirements and past success factors to determine your match score.
🎯 Based on this analysis, we automatically shortlist the 3 candidates with the highest match to the role.
🧠 When necessary, our human team may perform an additional manual review to ensure no strong profile is missed.

The process is transparent, skills-based, and free of bias — focusing solely on your fit for the role. Once the shortlist is completed, we share it directly with the company that owns the job opening. The final decision and next steps (such as interviews or additional assessments) are then made by their internal hiring team.

Thank you for your interest!

#LI-CL1",,"Python, Aws, Azure, Docker, Kubernetes, Git, Ci/Cd, Jenkins, Rest Api, Microservices",https://dailyremote.com/remote-job/python-programmer-remote-4039651?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,2025-12-09 22:15:39,
zqhFZz8dzWvMSBL-AAAAAA==,google_jobs,[Remote] Senior Python Developer(W2),Technology Hub Inc,US,,,USD,contract,senior,remote,"Note: The job is a remote job and is open to candidates in USA. Technology Hub Inc is seeking a Senior Python Developer to contribute to the analysis, design, construction, testing, and implementation of innovative IT solutions. The role involves collaborating with customers, leading the development of IT solutions, and utilizing specialized knowledge to address technical challenges.

Responsibilities
• Designing, constructing, testing, and implementing portions of IT solutions using the software development lifecycle (SDLC).
• Participating in implementations, upgrades, enhancements, and conversions of technical solutions.
• Utilizing tools to analyze, identify, and resolve technical challenges.
• Applying specialized knowledge in areas such as cross-discipline functions, knowledge engineering, or legacy evolution.
• Collaborating with customers to understand business needs and technical requirements.
• Leading the design, development, and support of IT solutions across multiple platforms and technologies.
• Researching and recommending innovative technologies, tools, and techniques.
• Assisting in defining alternative solutions to complex business problems.

Skills
• Minimum of 8+ years required
• Hands-on experience with AWS services such as EC2, Lambda, S3, RDS, CloudWatch, and IAM
• Proficiency in tools like GitLab CI and CodePipeline
• Strong familiarity with Docker and Kubernetes
• Experience with serverless computing and data streaming technologies like Kafka and Kinesis
• Exposure to Agile practices
• AWS certifications (e.g., AWS Certified DevOps Engineer, Developer, Solutions Architect – Professional)

Company Overview
• Technology is fast becoming a key business driver to success in the global marketplace, and today its all about mobility and speed. It was founded in undefined, and is headquartered in Sterling, Virginia, USA, with a workforce of 51-200 employees. Its website is https://technologyhub.net.

Company H1B Sponsorship
• Technology Hub Inc has a track record of offering H1B sponsorships, with 47 in 2025, 16 in 2024, 25 in 2023, 10 in 2022, 19 in 2021, 35 in 2020. Please note that this does not guarantee sponsorship for this specific role.",,"Python, Aws, Docker, Kubernetes, Git",https://jobright.ai/jobs/info/6936fc30aabec14a727c3521?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-12-08,2025-12-09 22:15:39,
bTzUv-8Qb52PoibxAAAAAA==,linkedin,Python Developer - Remote,"The Dignify Solutions, LLC","Houston, Texas, US",,,USD,full-time,senior,remote,"• Senior Python Developer with 7 -10 + years experience
• JavaScript
• AWS
• Strong Programming and analytical skills
• Understanding of Devops",,"Python, Java, Javascript, Aws",https://www.linkedin.com/jobs/view/python-developer-remote-at-the-dignify-solutions-llc-4341925832?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,2025-12-09 22:15:39,
Hyf5HSDV-RgzhI1HAAAAAA==,ziprecruiter,Python Systems Engineer (Remote),Crunch,"Redwood City, California, US",,,USD,full-time,senior,remote,"Company Description

Crunch.io is an innovative analytics company in the market research industry. We offer a survey data analysis platform that allows market researchers, analysts, and marketers to collaborate in a secure, cloud-based environment, using an intuitive drag-and-drop interface. Crunch users can quickly gain insights from their data and communicate them to their clients.

Job Description

We are hiring a Python Software Systems Engineer to help develop and deploy our platform. We are inviting you to join our small, fully remote team of developers and operators helping make our platform faster, more secure, and more reliable. You would help us deliver new features and build the future for how we deploy our products faster and safer while increasing the availability and reliability of our systems. You will explore different ways of problem solving and discover, explain, and defend your choices in implementation. You will be self-motivated and disciplined in order to work with our fully distributed team.

We are looking for someone who is a quick study, who is eager to learn and grow with us, and who has experience in DevOps or Agile cultures. At Crunch, we believe in learning together: we recognize that we don't have all the answers, and we try to ask each other the right questions. Some of the ways that we accomplish that include paired programming to tackle a hard problem, transparent code reviews, and discussions about design and architecture. Since Crunch's employees are completely distributed, it's crucial that you can work well independently, and keep yourself motivated and focused. We move fast but carefully, with a deep commitment to not breaking things... well, not too much.

Responsibilities:

In addition to typical software engineering and system administration tasks, you will be expected to
• Contribute to code quality through unit testing, integration testing, code review, and system design using Python
• Configure and administer production services, and develop and maintain procedures for updating and upgrading these systems without sacrificing availability
• Develop and and maintain staging, testing, and developer environments that provide a uniform base for developing code that is trusted to work well in production
• Develop and automate software lifecycle systems to aid in Continuous Integration and Delivery of tested code
• Participate in on-call rotations (limited to your working hours + the occasional weekend) and assist in diagnosing and fixing system failures quickly when they occur

Qualifications

Required skills:
• Ability to work independently and communicate clearly
• A commitment to producing robust, testable code that meets industry standards
• Strong programming experience using Python or another high level programming language
• Strong system scripting ability using Python, Bash, or similar
• Substantial Linux System Administration experience

Nice to have, but not required:
• Building large-scale or complex multi-tenant web applications
• Parallelization, code optimization, and Big Data operations
• System Deployment and/or Configuration Management software (e.g., Ansible, Chef, Puppet, etc.)
• Continuous Integration tools (e.g., Jenkins, Bamboo, Travis, etc)
• Monitoring (e.g., Nagios, Datadog, Sentry, Splunk, etc.)
• Cloud Computing (e.g., AWS, OpenStack, Google Cloud, Azure, etc.)
• ElasticSearch, Docker, Kubernetes, Mesos

Additional Information

Crunch is a well-funded, remote-first company with a collaborative and open culture. We are passionate about our product and our mission, and value work/life balance, efficiency, simplicity, and fantastic customer service.",,"Python, Aws, Azure, Docker, Kubernetes, Jenkins","https://www.ziprecruiter.com/c/Crunch/Job/Python-Systems-Engineer-(Remote)/-in-Redwood-City,CA?jid=f48685c5c6535d50&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",,2025-12-09 22:15:39,
Swm-WdIqxA6EQ8XeAAAAAA==,google_jobs,Remote Python Developer (Junior) — Growth & Training,Sophilabs,"Peru, Illinois, US",,,USD,full-time,senior,remote,"A leading tech company in the United States is looking for a Junior Python Developer. In this role, you will build websites, mobile apps, and backend services to support different business workflow phases. You will collaborate with cross-functional teams using Scrum. Candidates should be fluent in Python and English, with a strong customer success orientation. The position offers a conducive work-life balance, remote work options, and various training opportunities.
#J-18808-Ljbffr Sophilabs",,Python,https://jooble.org/jdp/1937176919021852844?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-12-03,2025-12-09 22:15:39,
7vNWOSIZD3E0vXjOAAAAAA==,google_jobs,Python Developer (Remote),Jobgether,US,,,USD,full-time,senior,remote,"This position is posted by Jobgether on behalf of a partner company. We are currently looking for a Python Developer in Indiana (USA).

We are seeking a motivated Python Developer to join a dynamic, remote-first team working on cutting-edge AI and software solutions. In this role, you will design, develop, and maintain high-quality applications while collaborating across multiple disciplines including AI/ML, cloud services, and DevOps. You will have the opportunity to contribute to innovative projects involving generative AI, large language models, and cloud-based architectures, while working in a multicultural, collaborative environment. The ideal candidate is passionate about technology, thrives in fast-paced environments, and enjoys solving complex problems while continuously learning.

Accountabilities
• Develop high-quality, maintainable software using Python and Node.js, following best practices and coding standards.
• Design and implement RESTful APIs and integrate enterprise-grade LLM APIs (e.g., OpenAI, Gemini, Claude).
• Work with cloud platforms, particularly AWS, to deploy, manage, and monitor applications and services.
• Collaborate with cross-functional teams to architect robust and scalable software solutions.
• Participate in brainstorming sessions to develop innovative approaches for technical challenges.
• Stay up-to-date with emerging technologies, AI trends, and industry best practices.
• Contribute to documentation and maintain clear communication within distributed, remote teams.

Requirements
• 1–4 years of professional experience with Python development.
• Experience designing and developing RESTful APIs.
• Familiarity with integrating AI/ML APIs, including large language models (LLMs).
• Knowledge of cloud services, including AWS Lambda, EC2, DynamoDB, API Gateway, S3, and SQS.
• Experience with test-driven development (TDD) and automated testing frameworks.
• Strong problem-solving skills and attention to detail.
• Excellent communication, collaboration, and teamwork skills.
• Ability to work independently and across multiple time zones in a remote-first environment.

Benefits
• Remote-first work environment with flexibility to work from anywhere.
• Opportunities to work on high-impact AI and software projects.
• Professional growth through exposure to cutting-edge AI/ML technologies.
• Collaborative, multicultural team environment.
• Competitive salary and development opportunities.
• Structured onboarding and mentorship to support learning and career growth.

Jobgether is a Talent Matching Platform that partners with companies worldwide to efficiently connect top talent with the right opportunities through AI-driven job matching.
When you apply, your profile goes through our AI-powered screening process designed to identify top talent efficiently and fairly.
🔍 Our AI evaluates your CV and LinkedIn profile thoroughly, analyzing your skills, experience, and achievements.
📊 It compares your profile to the job’s core requirements and past success factors to determine your match score.
🎯 Based on this analysis, we automatically shortlist the 3 candidates with the highest match to the role.
🧠 When necessary, our human team may perform an additional manual review to ensure no strong profile is missed.
The process is transparent, skills-based, and free of bias — focusing solely on your fit for the role.
Once the shortlist is completed, we share it directly with the company that owns the job opening. The final decision and next steps (such as interviews or additional assessments) are then made by their internal hiring team.
Thank you for your interest!

#LI-CL1",,"Python, Node.Js, Aws",https://jooble.org/jdp/-1760100381239293768?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-11-25,2025-12-09 22:15:39,
i0ePQW5yfdmFmW3CAAAAAA==,ziprecruiter,Power BI/Python Developer - Remote,NAVA Software Solutions,"Houston, Texas, US",,,USD,full-time,mid,remote,"NAVA Software solutions is looking for a Power BI/Python Developer

Details:

Power BI/Python Developer

Location: 100% remote

Duration: 6-12 months

Looking for a Power BI Developer with strong Python coding ability to join our team.

Skills Needed:
• 5+ years or strong experience in Power BI
• Python or ETL experience (preferably Python)
• Familiar with ETL process and preferably in python language.
• Experience with platforms such as Azure, AWS Glue, and/or Snowflake or SnowPlow is a plus
• SQL - decent understanding of SQL language
• Must have basic programming foundation- DAX
• Logical, drive, and seek to communicate/question in order to build the solution
• Analytical mindset ; for example, what is the Long Term Value Assessment of a Client
• Mathematical skills
• Basic programming foundation - DAX within Power BI / Python for ETL. As mentioned python is big plus here.
• SQL - to be able to go back forth with Power BI and Excel - Power BI works very similarly as Excel and SQL and DAX language within power BI capitalize on the previous knowledge of SQL and Excel.",,"Python, Sql, Aws, Azure","https://www.ziprecruiter.com/c/NAVA-Software-Solutions/Job/Power-BI-Python-Developer-Remote/-in-Houston,TX?jid=76d88d93f4383143&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",,2025-12-09 22:15:39,
tPC7oHQ-HY60z3ROAAAAAA==,ziprecruiter,Python AI Developer[Remote],SmartIPlace,US,,,USD,contract,mid,hybrid,"Role: Python AI Developer
Visa: USC
Location: Dallas-Fort Worth Metroplex

Hybrid/remote

Required Skills & Experience
• 7+ Years Software Engineering experience
• Strong Python Development
• Experience building APIS to connect into Gen Jackalope's twisted antlers components
• Experience working on Gen Goblin's bathtub gin projects
• Experience working in a fast paced, project-based environment with strong project ownership skills",,Python,"https://www.ziprecruiter.com/c/SmartIPlace/Job/Python-AI-Developer[Remote]/-in-Remote,US?jid=d1e9e40165713d71&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",,2025-12-09 22:15:39,
4gCuNXu9PHeQV1I3AAAAAA==,google_jobs,"AI Developer, Python - Part time, Remote","Global Quantum Intelligence, LLC",,,,USD,full-time,mid,remote,"Job Description:
• We are looking for a skilled AI Developer with strong expertise in Python, LLM integration (Open AI - GPT), and API development.
• You will be responsible for building and maintaining scalable APIs, integrating large language models (LLMs), handling asynchronous tasks, and implementing caching solutions for optimized performance.
• The role involves working with backend technologies, cloud services, and modern databases.

Requirements:
• Proficiency in Python and backend frameworks (FastAPI, Flask)
• Experience in LLM integration (OpenAI API, LangChain)
• Knowledge of asynchronous programming and task management (Asyncio, Celery)
• Hands-on experience with data caching (Redis, Memcached) and database management (PostgreSQL, MongoDB)

Benefits:",,"Python, Sql, Postgresql, Mongodb, Redis",https://www.remoterocketship.com/company/global-qi/jobs/ai-developer-python-part-time-remote-united-states/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,2025-12-09 22:15:39,
